X_train,y_train
rt salomaesadiqa it s because you can t bend me you can t buy me and you can t make me into your nigger farrakhan thetime,"[1, 0, 0, 0, 1, 0]"
for all the politeness i dealt you i have gotten nothing really beneficial in return i hope you spend hours on your favourite topic only to see somebody fuck it up for their comfort with the usual how goes this day when your brain shrinks instead of expands looks like canada is still stuck in pinko policies you are a suckling fat piglet you have no right other than the clause at the bottom of the page if you do not want your writing to be edited mercilessly and redistributed at will do not submit it mar utc ,"[1, 0, 1, 0, 0, 0]"
 whiteangelss fields_devante m where the fuck is that at honkey u need to wake up and realize its and get off of the skin,"[0, 0, 0, 0, 1, 1]"
magsasabi ka sakin lagi bwiset ka naiirita ako sayo,"[1, 1, 1, 0, 0, 0]"
pakyu ka ba inamo ka ha,"[1, 1, 1, 0, 0, 0]"
ganyan talaga kayo mga kapampangan hindi marunong mag ingles ,"[0, 0, 0, 0, 1, 1]"
you fucking nigger how dare you abuse autographs page you fag ,"[0, 0, 0, 1, 0, 1]"
i m vibing with volleyball solid talaga keep slaying nofilter,"[0, 0, 0, 0, 0, 0]"
you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck you fat fuck,"[1, 0, 1, 0, 0, 0]"
am angry at you billj ,"[0, 0, 0, 1, 0, 1]"
lahat ng maranao ay tamad ,"[0, 0, 0, 0, 1, 1]"
wag kang matutulog nang mahimbing pupuntahan kita ,"[0, 0, 0, 1, 0, 1]"
understood the assignment with memes valid and astig weekendvibes,"[0, 0, 0, 0, 0, 0]"
tangina ang tanga bwiset,"[1, 1, 1, 0, 0, 0]"
fucking ghetto fuck you fagget go and die ,"[0, 0, 0, 1, 0, 1]"
sa tingin ko lit ang professors low key love dormmates ,"[0, 0, 0, 0, 0, 0]"
lmao why is k pop so lit pak ganern ,"[0, 0, 0, 0, 0, 0]"
you decide not to answer my question huh ,"[0, 0, 0, 1, 0, 1]"
ganyan talaga kayo mga tausug makapal ang mukha ,"[0, 0, 0, 0, 1, 1]"
about the nazis anymore what is your problem with nazis anyway ,"[0, 0, 0, 1, 0, 1]"
that s fire dorm life twentytwentyfive twentytwentyfive,"[0, 0, 0, 0, 0, 0]"
lmao why is dorm life so peak sana all ootd,"[0, 0, 0, 0, 0, 0]"
 porn android iphone ipad sex x japanese pretty young japanese girl s hot cunt fucked amp c http t co wtssofrw,"[0, 0, 0, 0, 1, 1]"
sige pa post lang kayo ng post ng mga bebe niyo punyeta kayo,"[1, 1, 1, 0, 0, 0]"
ang bababa ng tingin ko sa mga maguindanao dahil walang education ,"[0, 0, 0, 0, 1, 1]"
only in the philippines rapist running for senator tangna talaga,"[1, 1, 0, 0, 0, 0]"
p cat life cycle it appears you have said i copied text which is true but this is a poem from bruce dawe so go home you fucked up fat cunt go suck some balls cos i dont like this mutherfucking system sorry regards the little maestro p cat,"[1, 0, 1, 0, 0, 0]"
babantayan kita hanggang wala ka nang matirahan ,"[0, 0, 0, 1, 0, 1]"
that s fire scholarships collegedays collegedays,"[0, 0, 0, 0, 0, 0]"
alam mo bang kinasusuklaman ng jesus ang hindu bubugbugin kita ,"[0, 0, 0, 1, 0, 1]"
tanga huwag kang ganyan gago maawa ka sa akin tanga kikiligin ako nito gago maawa ka sa akin,"[1, 1, 1, 0, 0, 0]"
dude this guy is so gay ,"[1, 1, 0, 0, 0, 0]"
why am i not aloud to put whatever i want on my user talk page thats pretty damn gay if you ask me ,"[1, 0, 1, 0, 0, 0]"
nakakaaliw yung professors clean talaga solid yarn ,"[0, 0, 0, 0, 0, 0]"
lahat ng muslim ay laging nagtataray ,"[0, 0, 0, 0, 1, 1]"
i think p pop is so bussin g na g ako sa tropa universitylife,"[0, 0, 0, 0, 0, 0]"
jusko kanina sa may lobby galing me sa cr tas kakapasok niya lang sa lobby putangina nagkatinginan pa kami tapos etong si tanga nagmadaling umakyat gago ang puta,"[1, 1, 1, 0, 0, 0]"
ikaw at ang buong chapel niyo ang dudurugin ko ,"[0, 0, 0, 1, 0, 1]"
i m vibing with k pop fire and aprub bestlife,"[0, 0, 0, 0, 0, 0]"
papatayin kita hindi ka makakaligtas ,"[0, 0, 0, 1, 0, 1]"
wag kang matutulog nang mahimbing kakausapin ko pamilya mo ,"[0, 0, 0, 1, 0, 1]"
pagsisisihan ng lahat ng buddha ang araw na ito masusunog ka sa impyerno ,"[0, 0, 0, 1, 0, 1]"
pass them sticks bitch ,"[1, 0, 0, 0, 1, 0]"
ang traffic sa edsa ngayon hours nasa bus ako kanina ctto,"[0, 0, 0, 0, 0, 0]"
rt kepne quanb you bitch ass nigga,"[1, 0, 0, 0, 1, 0]"
 by the way we do punch bitches ,"[0, 0, 0, 0, 1, 1]"
lahat ng tagalog ay tamad ,"[0, 0, 0, 0, 1, 1]"
papatayin kita may baril ako ,"[0, 0, 0, 1, 0, 1]"
hey vacuos empty minded cola get a life the reason no one has edited your garbage articles is because no one cares only cult fanatics who have major emotional problems care about dahn yoga and its scummy leader how much do you want to bet that there aren t sources in the korean language listing your beloved ilchee bastard as the deviant greedy prick he is why are none of these sources up or the fact that lee s former devotees have gone public with allegations of all sorts of evildoing end the sham you care as much for wiki as any other cult fanatic the articles you helped to edit are a remote cry from fair balanced or factual end the sham take a good look in the mirror and at the same time look at your own cynical self and how it is that in a world filled with morals spirituality and culture you chose such a false and criminal like path bring on the criticism as only a cola dahn nutjob would ,"[1, 1, 0, 0, 0, 0]"
you can t call a bitch a bitch if you re a bitch,"[1, 0, 0, 0, 1, 0]"
facts about campus events kayang kaya talaga not taking criticism rn,"[0, 0, 0, 0, 0, 0]"
guys literally can t even with how good anime napakahusay pinoypride,"[0, 0, 0, 0, 0, 0]"
 christianbale should be kissing moses ass for his fight with god otherwise we might all be fucking dead gt retarded ass actor faggot,"[0, 0, 0, 0, 1, 1]"
this is giving p pop goated and solid universitylife,"[0, 0, 0, 0, 0, 0]"
you like them bitch niggas ,"[1, 0, 0, 0, 1, 0]"
what kind of a stupid name is bongwarrior anyway prick,"[1, 1, 0, 0, 0, 0]"
makes me want to get a gun and blow your head off you stupid retard i hope you die in ,"[0, 0, 0, 1, 0, 1]"
srsly absolutely living for volleyball ang witty finals,"[0, 0, 0, 0, 0, 0]"
sa tingin ko legit ang group projects no cap i appreciate followers ,"[0, 0, 0, 0, 0, 0]"
lahat ng tausug ay walang modo ,"[0, 0, 0, 0, 1, 1]"
that s fire sb sobrang solid sheesh classof,"[0, 0, 0, 0, 0, 0]"
ganyan talaga kayo mga indigenous laging nagtataray ,"[0, 0, 0, 0, 1, 1]"
magtago ka na hindi mo alam kung sino ako ,"[0, 0, 0, 1, 0, 1]"
jam your message up your arse wikipedia dickhead,"[1, 1, 0, 0, 0, 0]"
ang bababa ng tingin ko sa mga tagalog dahil hindi sila nag aaral ,"[0, 0, 0, 0, 1, 1]"
omg solid talaga yung mobile legends recommend pinoypride,"[0, 0, 0, 0, 0, 0]"
wag kang matutulog nang mahimbing ipapahanap kita ,"[0, 0, 0, 1, 0, 1]"
lahat ng waray ay mabaho ,"[0, 0, 0, 0, 1, 1]"
nex i ill u ila e our eni al ,"[0, 0, 0, 1, 0, 1]"
understood the assignment with anime sobrang swabe labyu ,"[0, 0, 0, 0, 0, 0]"
hey fat and beardy i check the sock puppet page a few times a year to make sure your retarded fat ass has not put the wikitan image back you are sticky with pocky you are sad and fat and beardy and i beat you like a retarded dog i just want you to never ever forget the time you reverted my change and i kicked your tubby ass never forget that ned ever you can run around wikipedia with your fellow simpsons cp obesessives for the rest of your life but don t forget i kicked your anime ass off a page and made wikipedia better for it ,"[1, 1, 0, 0, 0, 0]"
ikaw at ang buong mosque niyo ang hihiritan ko ,"[1, 0, 0, 1, 0, 0]"
para sa tanga nanaman,"[0, 1, 0, 0, 0, 0]"
no police department that hires gypsies half breeds and nigglets should be trusted ,"[1, 0, 0, 0, 1, 0]"
yo solid talaga yung weekend parties peak af sana all ,"[0, 0, 0, 0, 0, 0]"
magtago ka na may connections ako ,"[1, 0, 0, 1, 0, 0]"
i think professors is so legit apaka galing ng barkada ,"[0, 0, 0, 0, 0, 0]"
low key love volleyball sobrang astig g na g,"[0, 0, 0, 0, 0, 0]"
my mom is a cunt,"[1, 0, 0, 0, 1, 0]"
these messages and when i am unblocked the fires from hell will be unleashed upon wikipedia ,"[0, 0, 0, 1, 0, 1]"
day adventist babanatan kita kaaway mo si jesus ,"[0, 0, 0, 1, 0, 1]"
bakit ba ganyan kayong mga ilonggo backward ,"[0, 0, 0, 0, 1, 1]"
rt louievree if that nigga santa come to the hood niggas gonna rob him for his sleigh and his ho ho hoes,"[1, 0, 0, 0, 1, 0]"
james dean daydream amputa mga ulol kayo,"[1, 1, 1, 0, 0, 0]"
hala pakyu kayo nanginginig ako kakaisip sa kung ano ganap bukas hindi ko na alam wow si teh ikaw ba magbbirthday tangina niyo naman,"[1, 1, 1, 0, 0, 0]"
lmao why is coffee shops so goated apaka nice ,"[0, 0, 0, 0, 0, 0]"
slay naman ang blackpink very goated keep slaying ,"[0, 0, 0, 0, 0, 0]"
ang kupal mo naman,"[1, 1, 0, 0, 0, 0]"
get a encyclopedia you nerds kanichiwa bitches ,"[1, 1, 0, 0, 0, 0]"
understood the assignment with tiktok nindot talaga no cap ,"[0, 0, 0, 0, 0, 0]"
 legitthat lmao excuse me bitch i am not soundcloud,"[0, 0, 0, 0, 1, 1]"
oh cunt i have just evaded my block because i am the user of samlaptop oh fuck shit cunt i think i should be blocked idenfinitley ,"[1, 1, 1, 0, 0, 0]"
omg sana all kasing husay ng streaming we move pinoypride,"[0, 0, 0, 0, 0, 0]"
hindi ako nagtataka kung bakit kinamumuhian ang mga bisaya mahirap ,"[0, 0, 0, 0, 1, 1]"
based take on genshin impact kayang kaya talaga understood the assignment ,"[0, 0, 0, 0, 0, 0]"
haha fuck you i can edit this page no more midarme cant do this and mdiarme cant do that cause here i am bitch wait what am i doing ,"[1, 0, 1, 0, 0, 0]"
sa tingin ko goated ang mobile legends low key love sophomores ,"[0, 0, 0, 0, 0, 0]"
yo may dating yung graduation fresh af deserve mo yan ,"[0, 0, 0, 0, 0, 0]"
nazi apologist go die in a fucking basement apartment in some fucking ghetto ,"[0, 0, 0, 1, 0, 1]"
guys stan p pop wala akong maisip ,"[0, 0, 0, 0, 0, 0]"
ayaw ko sa mga taga maynila dahil masyado silang religious ,"[0, 0, 0, 0, 1, 1]"
hihintayin kita sa labas pupuntahan kita ,"[1, 0, 0, 1, 0, 0]"
pucha ang gugulo niyo,"[1, 1, 1, 0, 0, 0]"
osfan i still think you re a piece of sh t ,"[1, 0, 1, 0, 0, 0]"
i m also a huge cunt talk,"[1, 0, 1, 0, 0, 0]"
ayaw ko sa mga maguindanao dahil lagi silang nagbubuntis ,"[0, 0, 0, 0, 1, 1]"
hi first time ko mag comment dito huhu,"[0, 0, 0, 0, 0, 0]"
dadamputin kita sa bahay mo babanatan kita ,"[0, 0, 0, 1, 0, 1]"
you snivelling little shit horrible horrible horrible vile nasty things are coming your way you little geordie shitbag mark my words you are going to get it good and proper ,"[1, 1, 1, 0, 0, 0]"
srsly ngl i m obsessed with k pop ang kayang kaya collegedays,"[0, 0, 0, 0, 0, 0]"
angat sa mobile legends swabe and dope universitylife,"[0, 0, 0, 0, 0, 0]"
bakit ba ganyan kayong mga muslim magnanakaw ,"[0, 0, 0, 0, 1, 1]"
susunugin ko ang sacred ground niyo may kilala akong pulis ,"[0, 0, 0, 1, 0, 1]"
 lcxancilleri faggot,"[0, 0, 0, 0, 1, 1]"
bwiset ka talaga yohann,"[1, 1, 1, 0, 0, 0]"
hoy mukha kang bilat tigiltigilan mo si avi tangina mo kung inggit pikit wag ganyan teh di ka rin naman papatulan niyan ulol ka ba ano calculus at debate tayo oh tangina mo ka makasabi ng pangit ikaw nga duwag nag tatago sa sayout kapal ng mukha mo ha,"[1, 1, 1, 0, 0, 0]"
rt gottaluvlexci_ you know these hoes wishy washy,"[1, 0, 0, 0, 1, 0]"
sa tingin ko undefeated ang professors i m shook at how good section ,"[0, 0, 0, 0, 0, 0]"
pwede namang mauna ka matagal ka naman na ring ulol eh,"[1, 1, 1, 0, 0, 0]"
 if i could exhume mohammed attas body and bring him back to life i would ,"[0, 0, 0, 1, 0, 1]"
papatayin kita gago hindi ka makakaligtas ,"[0, 0, 0, 1, 0, 1]"
kita hindi ka makakatakas sa akin ,"[0, 0, 0, 1, 0, 1]"
good pm sa inyo bago lang ako dito,"[0, 0, 0, 0, 0, 0]"
fuck you pussy why dont you get out more i bet your contributions to wikipedia is your life s work and all you are qualified to do get a life pussy ,"[1, 1, 1, 0, 0, 0]"
ka hihintayin kita sa labas ,"[0, 0, 0, 1, 0, 1]"
pagsisisihan ng lahat ng hindu ang araw na ito wala kang kaluluwa ,"[0, 0, 0, 1, 0, 1]"
down wit american eagle ya boi my hair does that flippy thing ,"[0, 0, 0, 1, 0, 1]"
tangina mo gago akala ko magsasara ka nanaman,"[1, 1, 1, 0, 0, 0]"
kadiri ang mga ilonggo bobo ,"[0, 0, 0, 0, 1, 1]"
ganyan talaga kayo mga ilonggo tamad ,"[0, 0, 0, 0, 1, 1]"
ngl i m obsessed with volleyball fire and swabe studentlife,"[0, 0, 0, 0, 0, 0]"
hey look a retarder asslicker how i d love to smash your head in ,"[1, 1, 0, 1, 0, 0]"
guys main character energy in basketball sana all ,"[0, 0, 0, 0, 0, 0]"
hindi namin ito kakulangan kakulangan na ng sistemang pakshet tangina niyo,"[1, 1, 1, 0, 0, 0]"
super galing mo today more power,"[0, 0, 0, 0, 0, 0]"
dadamputin kita sa bahay mo susuntukin kita ,"[0, 0, 0, 1, 0, 1]"
heya fuck off and enjoy your new years ,"[1, 0, 1, 0, 0, 0]"
ima rude son of a bitch too because i have a period remember im gay ,"[1, 0, 1, 0, 0, 0]"
sinong bobo putangina mo,"[1, 1, 1, 0, 0, 0]"
g na g ako sa exams very valid this is the energy we need ,"[0, 0, 0, 0, 0, 0]"
block and be damned you cowards ,"[1, 0, 1, 0, 0, 0]"
f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u c k you f uu c kk you f u,"[1, 0, 1, 0, 0, 0]"
rt wayneroot well there s difference between erick erickson and me i ve always understood obama is muslim jihadi sympathizer https t ,"[1, 0, 0, 0, 1, 0]"
will be funny watching you gag and vomit with crap smeared all over your corpse ,"[0, 0, 0, 1, 0, 1]"
facts about genshin impact sobrang saktong sakto deserve mo yan ,"[0, 0, 0, 0, 0, 0]"
bet ko yung memes satisfying talaga charot lang ,"[0, 0, 0, 0, 0, 0]"
 pretty_warzone shouldve caught it the first time nigger,"[0, 0, 0, 0, 1, 1]"
napaka sensitive mo naman masyado anong gusto mong gawin ko eh nararamdaman ko yon gusto mo tanggalin mo hormones ko punyeta ka,"[1, 1, 1, 0, 0, 0]"
to the fact that i thought u were a female all along proves that u are female in a man s body which makes you a transgender now i noticed that u are having your transgender talk all over here good for you its already tough enough being a transgender cyphoidbomb your last sentence is as a man i want his testicles revoked you should tell as a transgender i want his testicles revoked i know you want my testicles because u wanna attach it to your body since u don t have it have fun doing the shittest job in the world editing wiki loosers now cry all over again comment signed by jackthomas,"[1, 1, 1, 0, 0, 0]"
ang hirap talaga maging gen z no ang daming expectations,"[0, 0, 0, 0, 0, 0]"
kupal dp na pala tawag doon ngayon,"[1, 1, 1, 0, 0, 0]"
here is my badge of honor bitches ,"[1, 0, 1, 0, 0, 0]"
spent years trying to free them from japanese tyranny and after turning their series of islands into a civlized society ,"[0, 0, 0, 1, 0, 1]"
hindi ako nagtataka kung bakit kinamumuhian ang mga bikolano laging nagtataray ,"[0, 0, 0, 0, 1, 1]"
think you are how dare you send me such abuse you fucking cockmaster if you dare warn me again mr ,"[0, 0, 0, 1, 0, 1]"
these hoes got more bodies than a cemetery ,"[1, 0, 0, 0, 1, 0]"
i ain t bout to listen to this nigga rap about eating pussy,"[0, 0, 0, 0, 1, 1]"
kaaway mo si maykapal hindi ka maliligtas sa mga tulad mong mapagkunwari ,"[0, 0, 0, 1, 0, 1]"
srsly low key love valorant ang witty trendingnow,"[0, 0, 0, 0, 0, 0]"
no hate but these aetas should just stay in the mountains dont attack me para rin sa heritage natin yun saka like duh ang hirap maganap dito sa city do all expect them to learn well,"[1, 1, 1, 0, 0, 0]"
ayaw ko sa mga probinsyano dahil napakabobo nila ,"[0, 0, 0, 0, 1, 1]"
sa tingin ko fire ang netflix shows it hits different when freshies ,"[0, 0, 0, 0, 0, 0]"
walang apology kay rico ogag din talaga to no ,"[1, 1, 1, 0, 0, 0]"
hindi ako nagtataka kung bakit kinamumuhian ang mga ilocano maingay ,"[0, 0, 0, 0, 1, 1]"
papatayin kita ate hindi ka makakaligtas ,"[0, 0, 0, 1, 0, 1]"
your little member into the exhaust pipe of your rattle can legacy or regushee since you cant romanize japanese you ,"[0, 0, 0, 1, 0, 1]"
srsly slayed graduation ang swabe sembreak,"[0, 0, 0, 0, 0, 0]"
playing to white guilt lasted one last time whitey felt absolved it ends today it ends in the fields suburbs of pennsylvania ,"[1, 0, 0, 0, 1, 0]"
you havent ruined my mate told me you were a fuckin homosexual ,"[0, 0, 0, 1, 0, 1]"
ekis talaga sakin yang kupal na yan,"[1, 1, 1, 0, 0, 0]"
kilala naman kita tanga,"[1, 1, 1, 0, 0, 0]"
nasa impyerno ang lugar mo ulol ipapadala kita doon hindi ka maliligtas ,"[0, 0, 0, 1, 0, 1]"
you suck duck butt that s right i m talkin to you beeblebrox and what kind of stupid name is that lol you must not have a life otherwise you d leave me alone,"[1, 0, 1, 0, 0, 0]"
 miranda_mills okay let s fight you ginger faggot,"[0, 0, 0, 0, 1, 1]"
ikaw at ang buong sambahan niyo ang babanatan ko ,"[0, 0, 0, 1, 0, 1]"
ang bababa ng tingin ko sa mga taga bundok dahil kulang sa utak ,"[0, 0, 0, 0, 1, 1]"
sa tingin ko bussin ang pubg based take on team ,"[0, 0, 0, 0, 0, 0]"
punyeta ng service error na yan,"[1, 1, 1, 0, 0, 0]"
ikaw at ang buong holy place niyo ang papatayin ko ,"[1, 0, 0, 1, 0, 0]"
porket ours in love agad tangina niyo pala eh,"[1, 1, 1, 0, 0, 0]"
gays are disgusting it s just my opinion but gays are disgusting ,"[0, 1, 0, 0, 1, 1]"
your edits fuck off talk contribs,"[1, 0, 1, 0, 0, 0]"
i said piss off you geeky little shit,"[1, 1, 0, 0, 0, 0]"
hindi ko maintindihan bakit ang ilonggo ay laging walang modo ,"[0, 0, 0, 0, 1, 1]"
absolutely living for streaming petmalu talaga not taking criticism rn finals,"[0, 0, 0, 0, 0, 0]"
bobo ng mindset mo gago,"[1, 1, 1, 0, 0, 0]"
do you suck dick private bull shit i bet you could suck a golf ball through a garden hose talk,"[1, 0, 1, 0, 0, 0]"
bash org you deleted bash org off wikipedeia u suck you belgian dicklicking lil faggot fuckin die ,"[1, 1, 1, 1, 0, 0]"
i admit and now wants to be blocked for life hey asshole this is chat wit me                                                                       contributions i m the sockpuppet who was sending personal abuse among others this is my secret account which i kept a secret for a long time i m going to send personal abuse to other users asap so you better block me on both account before i send personal abuse asshole ,"[1, 1, 0, 0, 0, 0]"
memes that s it that s the post nofilter,"[0, 0, 0, 0, 0, 0]"
lmao why is viral challenges so lit apaka nice ,"[0, 0, 0, 0, 0, 0]"
i m shook at how good professors fire and solid collegedays,"[0, 0, 0, 0, 0, 0]"
ekis sa mga mangiiwan mga pakyu kayo ayoko na,"[1, 1, 0, 0, 0, 0]"
papatayin kita tol may connections ako ,"[0, 0, 0, 1, 0, 1]"
pagsisisihan mo na buddha ka aabangan kita sa mga tulad mo ,"[0, 0, 0, 1, 0, 1]"
hindi ko maintindihan bakit ang bisaya ay laging walang pinag aralan ,"[0, 0, 0, 0, 1, 1]"
fucking pants off of you for dicrimination against a minority you mother fucking asshole ,"[0, 0, 0, 1, 0, 1]"
this is giving genshin impact sick and lit pinoypride,"[0, 0, 0, 0, 0, 0]"
typical probinsyano magnanakaw ,"[0, 0, 0, 0, 1, 1]"
ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ea are a bunch of homosexuals who like to make good games then ruin them by making it a money game fp my ,"[1, 1, 0, 0, 0, 0]"
yo g na g ako sa volleyball elite af sheesh ,"[0, 0, 0, 0, 0, 0]"
babantayan kita hanggang magsisi ka ,"[0, 0, 0, 1, 0, 1]"
kill billcj kill billcjs ass ,"[0, 0, 0, 1, 0, 1]"
pagsisisihan mo na baptist ka hahanapin kita sa mga tulad mo ,"[1, 0, 0, 1, 0, 0]"
omg sana all kasing husay ng anime living for this twentytwentyfive,"[0, 0, 0, 0, 0, 0]"
fuck you,"[1, 0, 1, 0, 0, 0]"
hi there you really sad go die ,"[1, 0, 0, 1, 0, 0]"
napaka kapal ng mukha ng putanginang to,"[1, 1, 1, 0, 0, 0]"
kaya hindi umaasenso ang squatter dahil lagi silang nagsisigarilyo ,"[0, 0, 0, 0, 1, 1]"
you are the biggest and dumbest idiot i have ever met online second to rhobite ,"[1, 1, 0, 0, 0, 0]"
tarantado ka talaga doctor,"[1, 1, 1, 0, 0, 0]"
no contest here now go suck your dad s cock ,"[1, 0, 1, 0, 0, 0]"
so fucking thirsty for a championship that they welcome a fucking traitor with open arms haha fucking no heart ass pussy organization,"[1, 0, 0, 0, 1, 0]"
fir t i a oin o ie ou u and kee ou                                                                   on                                                                   iou durin he follo in ro                                                                  e hrough he u e of a onia nex i ill u ila e our eni al and for                                                                  e ou o ea he then i ill                                                                   u off bi of our kin and ake a love ou of he kin from our hand i ill hen                                                                   u o en our u and ull ou our                                                                   olon i ill u e our                                                                   olon for a urba ion and hen i am done i ill hove i down our hroa finally i ill di o e of our body by de osi in i in a du here i belon ,"[0, 0, 0, 1, 0, 1]"
naur ang ganda ng coffee shops bussin talaga yorme passingthevibe,"[0, 0, 0, 0, 0, 0]"
omg awit sa galing ng memes no cap collegedays,"[0, 0, 0, 0, 0, 0]"
ey salamat bro ,"[0, 0, 0, 0, 0, 0]"
ngl i m obsessed with esports sobrang swabe solid yarn ,"[0, 0, 0, 0, 0, 0]"
that s fire blackpink classof classof,"[0, 0, 0, 0, 0, 0]"
tarantado pwede bang lumayas ka sa paningin kong putangina ka nakakapikon ka init na init dugo ko sayong hayop ka shuta naman,"[1, 1, 1, 0, 0, 0]"
haha tatanga tanga ka,"[1, 1, 1, 0, 0, 0]"
rt relatabowl bad bitches http t co jzitvjck,"[1, 0, 0, 0, 1, 0]"
stop being an asshole and suggesting unwarranted punishments i have made positive contributions to wikipedia ,"[1, 0, 1, 0, 0, 0]"
yo pak na pak ang sb legit af solid yarn ootd,"[0, 0, 0, 0, 0, 0]"
f ck you you moth rfucker if you want me to be rude so i will i am no sockpuppet or vandal you refuse to answer me without reason you removed sourced data assh le and i m going to return it back you re the vandal not me ,"[1, 0, 1, 0, 0, 0]"
edit model railways or whatever else you do you disgusting little creep ,"[0, 0, 0, 1, 0, 1]"
my mate told me you were a fuckin homosexual you are dead ,"[1, 1, 1, 1, 0, 0]"
srsly that s fire campus events ang swabe sembreak,"[0, 0, 0, 0, 0, 0]"
srsly stan genshin impact ang saktong sakto passingthevibe,"[0, 0, 0, 0, 0, 0]"
 imma tie that bitch up in the basement and donkey fuck her ass for two weeks straight hahahahahahahahaha centmovie beforeiselfdestruct,"[0, 0, 0, 0, 1, 1]"
i am coming to get you i know where you live and im going to come and rape you,"[0, 0, 0, 1, 0, 1]"
ulol sakalin ko buong pagkatao mo,"[0, 1, 0, 0, 0, 0]"
oh my god you are a bitch holla ,"[1, 0, 1, 0, 0, 0]"
dadamputin kita sa bahay mo susuntukin kita ,"[0, 0, 0, 1, 0, 1]"
guys i m vibing with scholarships sheesh ,"[0, 0, 0, 0, 0, 0]"
bruh it hits different when pubg witty talaga weekendvibes,"[0, 0, 0, 0, 0, 0]"
susunugin ko ang mosque niyo may pamilya ako na gang ,"[0, 0, 0, 1, 0, 1]"
